column,mae,masked_cells,model_name,rmse,split
in_co2,5.044947249141571,488.0,patch_tst,8.104951720462317,validation
in_co2_2,5.398534598233719,475.0,patch_tst,9.470086587512421,validation
in_medium_ec1,0.1171963604136741,512.0,patch_tst,0.14215636384599914,validation
in_medium_ec2,0.05517589044298478,516.0,patch_tst,0.07720396987375099,validation
etc_blackout,0.00024975931082586364,487.0,patch_tst,0.0003171378506481454,validation
etc_plc_abnorm,0.00027496746321075175,481.0,patch_tst,0.0003276095086702229,validation
etc_plc_norm,0.0866788816588923,508.0,patch_tst,0.16723784452099155,validation
out_temp,1.3806727986939982,440.0,patch_tst,2.9313015119873884,validation
out_hum,3.0056713962768256,461.0,patch_tst,5.15927864067192,validation
out_winddirec,44.566636596806674,471.0,patch_tst,66.71118916567754,validation
out_windsp,0.4830656003831126,475.0,patch_tst,0.652513100874879,validation
out_light,60.35706514481487,553.0,patch_tst,103.80153929594293,validation
out_light_sum,0.00010048040920602424,497.0,patch_tst,0.00012590921119247928,validation
out_rainfall,0.05002553145794765,493.0,patch_tst,0.08007109040343742,validation
out_rain,0.03849565354680807,483.0,patch_tst,0.12536926859934738,validation
out_airpress,1.149326239203128,497.0,patch_tst,2.1257016136992513,validation
__all__,7.008306995471376,14227,patch_tst,34.341744483216324,test
in_medium_temp1,1.7542055738522166,568.0,patch_tst,2.822416951473488,test
in_medium_temp2,1.7231693625171005,549.0,patch_tst,2.9307991042432384,test
in_temp,1.8313996596793745,556.0,patch_tst,3.45798852335973,test
in_temp2,1.578114740194228,555.0,patch_tst,3.00686547418455,test
in_water_hot,1.5820084280003661,536.0,patch_tst,2.6275879865776304,test
in_water_cold,1.5440824739022572,555.0,patch_tst,2.481019190376531,test
in_hum,2.811952630630589,558.0,patch_tst,4.514540365082875,test
in_hum2,2.8245440165884803,508.0,patch_tst,4.272622361164642,test
in_medium_hum1,1.571386844486654,568.0,patch_tst,2.3651175450535282,test
in_medium_hum2,1.6869992658108215,543.0,patch_tst,2.529650935264057,test
in_co2,4.257805295520875,507.0,patch_tst,5.558963782663523,test
in_co2_2,4.248462701882354,532.0,patch_tst,5.828205533048549,test
in_medium_ec1,0.3176456346976184,550.0,patch_tst,0.3553532561041973,test
in_medium_ec2,0.06279043388072003,557.0,patch_tst,0.08195231576576577,test
etc_blackout,0.0003880167148002247,543.0,patch_tst,0.0004665115520366321,test
etc_plc_abnorm,0.0002564588378238746,523.0,patch_tst,0.00030988099604768835,test
etc_plc_norm,0.08430300257471664,534.0,patch_tst,0.1372535444284357,test
out_temp,1.9002268679427397,544.0,patch_tst,3.2229373435532116,test
out_hum,3.3634702988322687,536.0,patch_tst,4.8456499063913,test
out_winddirec,55.29693420301832,568.0,patch_tst,74.37774171002596,test
out_windsp,0.4779009077328535,539.0,patch_tst,0.6604090056347949,test
out_light,85.3470251539991,579.0,patch_tst,152.8446363571759,test
out_light_sum,0.00010229776349120044,555.0,patch_tst,0.00011901156069930775,test
out_rainfall,0.1718704623695539,545.0,patch_tst,1.3942282879693007,test
out_rain,0.03971627100325413,539.0,patch_tst,0.12128169631559502,test
out_airpress,1.1128128921597054,580.0,patch_tst,1.6109560438842427,test
