crop,feature_variant,model,baseline_only,deployment_eligible,horizon,validation_window_count,physical_violation_rate,nan_inf_count,target,drift_slope_nmae,drift_slope_nmae_median,drift_slope_nmae_q90,drift_slope_nmae_cvar90
melon,with_quality_flags,knn,False,True,15min,483,0,0,indoor_temperature,0.01017395541,0.006369080045,0.0266243272,0.03898473938
melon,with_quality_flags,knn,False,True,15min,483,0,0,indoor_humidity,0.01117497131,0.008444267987,0.04231065431,0.06441737009
melon,with_quality_flags,knn,False,True,15min,483,0,0,indoor_co2,0.01040511375,0.007035468886,0.07269984515,0.1131418262
melon,with_quality_flags,knn,False,True,30min,483,0,0,all_targets,0.01402905609,0.01108196963,0.03275772168,0.04285185247
melon,with_quality_flags,knn,False,True,30min,483,0,0,indoor_temperature,0.01007685904,0.006110722301,0.02731942186,0.03898253864
melon,with_quality_flags,knn,False,True,30min,483,0,0,indoor_humidity,0.01287394485,0.008557940826,0.03541488876,0.05364695152
melon,with_quality_flags,knn,False,True,30min,483,0,0,indoor_co2,0.01913636439,0.01286485739,0.05901753328,0.08427794332
melon,with_quality_flags,knn,False,True,60min,483,0,0,all_targets,0.01411629625,0.01139425851,0.02929667383,0.0407439778
melon,with_quality_flags,knn,False,True,60min,483,0,0,indoor_temperature,0.009292462568,0.005231410476,0.02414784764,0.03688527832
melon,with_quality_flags,knn,False,True,60min,483,0,0,indoor_humidity,0.01270627293,0.008602115385,0.03269723676,0.04779208886
melon,with_quality_flags,knn,False,True,60min,483,0,0,indoor_co2,0.02035015326,0.01539931302,0.04866773302,0.06859724406
melon,with_quality_flags,extra_trees,False,True,15min,483,0,0,all_targets,0.01094031632,0.007228055884,0.0407468109,0.0587308089
melon,with_quality_flags,extra_trees,False,True,15min,483,0,0,indoor_temperature,0.01016616265,0.00561948736,0.03002021369,0.03934917418
melon,with_quality_flags,extra_trees,False,True,15min,483,0,0,indoor_humidity,0.008234068179,0.004708155069,0.03544558878,0.06244032435
melon,with_quality_flags,extra_trees,False,True,15min,483,0,0,indoor_co2,0.01442071812,0.006781938614,0.09056203961,0.1306469841
melon,with_quality_flags,extra_trees,False,True,30min,483,0,0,all_targets,0.01357720716,0.009765629279,0.03215416616,0.04766159084
melon,with_quality_flags,extra_trees,False,True,30min,483,0,0,indoor_temperature,0.01010813957,0.005631405539,0.02687019616,0.03840701177
melon,with_quality_flags,extra_trees,False,True,30min,483,0,0,indoor_humidity,0.009453795958,0.005615738991,0.028051733,0.04493361549
melon,with_quality_flags,extra_trees,False,True,30min,483,0,0,indoor_co2,0.02116968594,0.01113885227,0.06790190146,0.1041126336
melon,with_quality_flags,extra_trees,False,True,60min,483,0,0,all_targets,0.01272703318,0.009369691505,0.02895713305,0.04193324443
melon,with_quality_flags,extra_trees,False,True,60min,483,0,0,indoor_temperature,0.009555596528,0.005674620176,0.02578032092,0.03598317456
melon,with_quality_flags,extra_trees,False,True,60min,483,0,0,indoor_humidity,0.008425322083,0.005576338938,0.02292980256,0.0377465513
melon,with_quality_flags,extra_trees,False,True,60min,483,0,0,indoor_co2,0.02020018093,0.01110075076,0.05452465069,0.08808316776
melon,with_quality_flags,lightgbm,False,True,15min,483,0,0,all_targets,0.01106413661,0.008448730305,0.03658339786,0.05658788508
melon,with_quality_flags,lightgbm,False,True,15min,483,0,0,indoor_temperature,0.008781111051,0.004771440771,0.02478616095,0.03496894534
melon,with_quality_flags,lightgbm,False,True,15min,483,0,0,indoor_humidity,0.01216647623,0.009784721582,0.04504073584,0.06948606659
melon,with_quality_flags,lightgbm,False,True,15min,483,0,0,indoor_co2,0.01224482254,0.007017654224,0.07097529159,0.1263538079
melon,with_quality_flags,lightgbm,False,True,30min,483,0,0,all_targets,0.01332024737,0.009705876889,0.0315110662,0.04727066467
melon,with_quality_flags,lightgbm,False,True,30min,483,0,0,indoor_temperature,0.008656905397,0.004912003275,0.02422263857,0.03320101403
melon,with_quality_flags,lightgbm,False,True,30min,483,0,0,indoor_humidity,0.01252756028,0.01028123161,0.03021954747,0.04794119074
melon,with_quality_flags,lightgbm,False,True,30min,483,0,0,indoor_co2,0.01877627645,0.01062159642,0.05873423986,0.1004354273
melon,with_quality_flags,lightgbm,False,True,60min,483,0,0,all_targets,0.01296339132,0.009706379156,0.02781080364,0.04063458025
melon,with_quality_flags,lightgbm,False,True,60min,483,0,0,indoor_temperature,0.00793274085,0.004551780452,0.02040982503,0.02943235634
melon,with_quality_flags,lightgbm,False,True,60min,483,0,0,indoor_humidity,0.01177733973,0.009506624369,0.02829252206,0.03972516705
melon,with_quality_flags,lightgbm,False,True,60min,483,0,0,indoor_co2,0.01918009339,0.009973328991,0.054762232,0.08423217829
melon,with_quality_flags,xgboost,False,True,15min,483,0,0,all_targets,0.00896856835,0.006720244007,0.03253091114,0.04966104515
melon,with_quality_flags,xgboost,False,True,15min,483,0,0,indoor_temperature,0.008349021804,0.004297958979,0.02389900144,0.03731928765
melon,with_quality_flags,xgboost,False,True,15min,483,0,0,indoor_humidity,0.01001298779,0.008233436063,0.04134179258,0.06168021907
melon,with_quality_flags,xgboost,False,True,15min,483,0,0,indoor_co2,0.008543695455,0.003723705483,0.06529483225,0.1086057532
melon,with_quality_flags,xgboost,False,True,30min,483,0,0,all_targets,0.01328441729,0.008630539248,0.02895861521,0.05452284167
melon,with_quality_flags,xgboost,False,True,30min,483,0,0,indoor_temperature,0.008532550614,0.004113837914,0.02365658765,0.03671423034
melon,with_quality_flags,xgboost,False,True,30min,483,0,0,indoor_humidity,0.01050599927,0.007701258351,0.02640237666,0.04414808524
melon,with_quality_flags,xgboost,False,True,30min,483,0,0,indoor_co2,0.02081470197,0.008947928309,0.05710969877,0.1227587241
melon,with_quality_flags,xgboost,False,True,60min,483,0,0,all_targets,0.01200415185,0.00905741482,0.02538533832,0.03983401212
